title	torrent_size	link
Welcome.to.Wrexham.S02E13.WEB.x264-PHOENiX	1.0 GB	https://1337x.to/torrent/5875782/Welcome-to-Wrexham-S02E13-WEB-x264-PHOENiX/
The Iron Oath (v1.0.002 + Bonus Soundtrack) [FitGirl Repack, Selective Download ...	699.7 MB	https://1337x.to/torrent/5876138/The-Iron-Oath-v1-0-002-Bonus-Soundtrack-FitGirl-Repack-Selective-Download-from-348-MB/
Fukrey.3.2023.Hindi.1080p.AMZN.WEB-DL.DD+5.1.H.265-TheBiscuitMan	4.1 GB	https://1337x.to/torrent/5876665/Fukrey-3-2023-Hindi-1080p-AMZN-WEB-DL-DD-5-1-H-265-TheBiscuitMan/
Various Artists - NOW That's What I Call 40 Years Vol. 4 - 2013-2023 (2023) Mp3 ...	916.6 MB	https://1337x.to/torrent/5876558/Various-Artists-NOW-That-s-What-I-Call-40-Years-Vol-4-2013-2023-2023-Mp3-320kbps-PMEDIA/
Various Artists - NOW That's What I Call 40 Years Vol. 3 - 2003-2013 (2023) Mp3 ...	1.6 GB	https://1337x.to/torrent/5876557/Various-Artists-NOW-That-s-What-I-Call-40-Years-Vol-3-2003-2013-2023-Mp3-320kbps-PMEDIA/
Welcome.to.Wrexham.S02E14.WEB.x264-PHOENiX	10.3 GB	https://1337x.to/torrent/5875787/Welcome-to-Wrexham-S02E14-WEB-x264-PHOENiX/
Big.Brother.US.S25E41.720p.HDTV.x264-JACKED	196.5 MB	https://1337x.to/torrent/5875426/Big-Brother-US-S25E41-720p-HDTV-x264-JACKED/
Now.And.Then.The.Last.Beatles.Song.2023.1080p.WEB.h264-EDITH[TGx]	1.1 GB	https://1337x.to/torrent/5876350/Now-And-Then-The-Last-Beatles-Song-2023-1080p-WEB-h264-EDITH-TGx/
Cyberbunker.The.Criminal.Underworld.2023.1080p.NF.WEB-DL.DDP5.1.Atmos.H.264-FLUX...	227.1 MB	https://1337x.to/torrent/5876358/Cyberbunker-The-Criminal-Underworld-2023-1080p-NF-WEB-DL-DDP5-1-Atmos-H-264-FLUX-TGx/
WWE.NXT.2023.11.07.HDTV.x264-NWCHD[TGx]	170.7 MB	https://1337x.to/torrent/5875402/WWE-NXT-2023-11-07-HDTV-x264-NWCHD-TGx/
Blue Eye Samurai S01 1080p BluRay x265 KONTRAST [NikaNika]	1.6 GB	https://1337x.to/torrent/5876172/Blue-Eye-Samurai-S01-1080p-BluRay-x265-KONTRAST-NikaNika/
